gene_name,coef
IFI6,0.452
IL1R2,-0.055
IL1B,-0.041
FAM83A,0.004
PCSK5,0.046
ADM,-0.099
WDR74,0.124
IFI27,0.084
DCUN1D3,-0.050
KRT13,-0.005
(Intercept),-4.733
