"sample_name","sequencing_batch","CZB_ID"
"RR057e_00037_M22_S349","SEQ003","RR057e_00037"
"RR057e_00039_N16_S254","SEQ003","RR057e_00039"
"RR057e_00049_D18_S276","SEQ003","RR057e_00049"
"RR057e_00058_J18_S282","SEQ003","RR057e_00058"
"RR057e_00073_L18_S284","SEQ003","RR057e_00073"
"RR057e_00074_N18_S286","SEQ003","RR057e_00074"
"RR057e_00076_D20_S308","SEQ003","RR057e_00076"
"RR057e_00079_F20_S310","SEQ003","RR057e_00079"
"RR057e_00080_H20_S312","SEQ003","RR057e_00080"
"RR057e_00086_L20_S316","SEQ003","RR057e_00086"
"RR057e_00088_N20_S318","SEQ003","RR057e_00088"
"RR057e_00093_F22_S342","SEQ003","RR057e_00093"
"RR057e_00102_H22_S344","SEQ003","RR057e_00102"
"RR057e_00105_J22_S346","SEQ003","RR057e_00105"
"RR057e_00107_L22_S348","SEQ003","RR057e_00107"
"RR057e_00116_N22_S350","SEQ003","RR057e_00116"
"RR057e_00130_E16_S245","SEQ003","RR057e_00130"
"RR057e_00131_G16_S247","SEQ003","RR057e_00131"
"RR057e_00137_I16_S249","SEQ003","RR057e_00137"
"RR057e_00140_K16_S251","SEQ003","RR057e_00140"
"RR057e_00142_M16_S253","SEQ003","RR057e_00142"
"RR057e_00143_C18_S275","SEQ003","RR057e_00143"
"RR057e_00154_G18_S279","SEQ003","RR057e_00154"
"RR057e_00168_I18_S281","SEQ003","RR057e_00168"
"RR057e_00171_K18_S283","SEQ003","RR057e_00171"
"RR057e_00173_M18_S285","SEQ003","RR057e_00173"
"RR057e_00184_E20_S309","SEQ003","RR057e_00184"
"RR057e_00198_G20_S311","SEQ003","RR057e_00198"
"RR057e_00200_I20_S313","SEQ003","RR057e_00200"
"RR057e_00203_K20_S315","SEQ003","RR057e_00203"
"RR057e_00206_M20_S317","SEQ003","RR057e_00206"
"RR057e_00216_E22_S341","SEQ003","RR057e_00216"
"RR057e_00222_G22_S343","SEQ003","RR057e_00222"
"RR057e_00223_I22_S345","SEQ003","RR057e_00223"
"RR057e_00231_K12_S187","SEQ003","RR057e_00231"
"RR057e_00253_M12_S189","SEQ003","RR057e_00253"
"RR057e_00259_C14_S211","SEQ003","RR057e_00259"
"RR057e_00260_E14_S213","SEQ003","RR057e_00260"
"RR057e_00261_G14_S215","SEQ003","RR057e_00261"
"RR057e_00268_I14_S217","SEQ003","RR057e_00268"
"RR057e_00272_K14_S219","SEQ003","RR057e_00272"
"RR057e_00273_M14_S221","SEQ003","RR057e_00273"
"RR057e_00302_C16_S243","SEQ003","RR057e_00302"
"RR057e_00399_C04_S51","SEQ003","RR057e_00399"
"RR057e_00401_G04_S55","SEQ003","RR057e_00401"
"RR057e_00403_K04_S59","SEQ003","RR057e_00403"
"RR057e_00412_G06_S87","SEQ003","RR057e_00412"
"RR057e_00414_K06_S91","SEQ003","RR057e_00414"
"RR057e_00416_C08_S115","SEQ003","RR057e_00416"
"RR057e_00423_E08_S117","SEQ003","RR057e_00423"
"RR057e_00427_I08_S121","SEQ003","RR057e_00427"
"RR057e_00436_C10_S147","SEQ003","RR057e_00436"
"RR057e_00437_E10_S149","SEQ003","RR057e_00437"
"RR057e_00442_G10_S151","SEQ003","RR057e_00442"
"RR057e_00451_I10_S153","SEQ003","RR057e_00451"
"RR057e_00454_C12_S179","SEQ003","RR057e_00454"
"RR057e_00456_G12_S183","SEQ003","RR057e_00456"
"RR057e_00719_H04_S56","SEQ003","RR057e_00719"
"RR057e_00721_L04_S60","SEQ003","RR057e_00721"
"RR057e_00723_D06_S84","SEQ003","RR057e_00723"
"RR057e_00724_F06_S86","SEQ003","RR057e_00724"
"RR057e_00726_J06_S90","SEQ003","RR057e_00726"
"RR057e_00727_L06_S92","SEQ003","RR057e_00727"
"RR057e_00728_N06_S94","SEQ003","RR057e_00728"
"RR057e_00729_D08_S116","SEQ003","RR057e_00729"
"RR057e_00731_H08_S120","SEQ003","RR057e_00731"
"RR057e_00733_L08_S124","SEQ003","RR057e_00733"
"RR057e_00735_D10_S148","SEQ003","RR057e_00735"
"RR057e_00736_F10_S150","SEQ003","RR057e_00736"
"RR057e_00737_H10_S152","SEQ003","RR057e_00737"
"RR057e_00741_D12_S180","SEQ003","RR057e_00741"
"RR057e_00742_F12_S182","SEQ003","RR057e_00742"
"RR057e_00743_H12_S184","SEQ003","RR057e_00743"
"RR057e_00744_J12_S186","SEQ003","RR057e_00744"
"RR057e_00746_N12_S190","SEQ003","RR057e_00746"
"RR057e_00747_D14_S212","SEQ003","RR057e_00747"
"RR057e_00748_F14_S214","SEQ003","RR057e_00748"
"RR057e_00749_H14_S216","SEQ003","RR057e_00749"
"RR057e_00750_J14_S218","SEQ003","RR057e_00750"
"RR057e_00761_L14_S220","SEQ003","RR057e_00761"
"RR057e_00762_N14_S222","SEQ003","RR057e_00762"
"RR057e_00763_D16_S244","SEQ003","RR057e_00763"
"RR057e_00764_F16_S246","SEQ003","RR057e_00764"
"RR057e_00765_H16_S248","SEQ003","RR057e_00765"
"RR057i_00062_E03_S37","SEQ003","RR057i_00062"
"RR057i_00064_I03_S41","SEQ003","RR057i_00064"
"RR057i_00067_C05_S67","SEQ003","RR057i_00067"
"RR057i_00068_E05_S69","SEQ003","RR057i_00068"
"RR057i_00069_G05_S71","SEQ003","RR057i_00069"
"RR057i_00070_I05_S73","SEQ003","RR057i_00070"
"RR057i_00071_K05_S75","SEQ003","RR057i_00071"
"RR057i_00072_M05_S77","SEQ003","RR057i_00072"
"RR057i_00074_E07_S101","SEQ003","RR057i_00074"
"RR057i_00075_G07_S103","SEQ003","RR057i_00075"
"RR057i_00076_I07_S105","SEQ003","RR057i_00076"
"RR057i_00077_K07_S107","SEQ003","RR057i_00077"
"RR057i_00078_M07_S109","SEQ003","RR057i_00078"
"RR057i_00080_E09_S133","SEQ003","RR057i_00080"
"RR057i_00081_G09_S135","SEQ003","RR057i_00081"
"RR057i_00082_I09_S137","SEQ003","RR057i_00082"
"RR057i_00083_K09_S139","SEQ003","RR057i_00083"
"RR057i_00084_M09_S141","SEQ003","RR057i_00084"
