"","gene_symbol","SC2_no_virus_padj","SC2_no_virus_logFC","SC2_other_virus_padj","SC2_other_virus_logFC","other_virus_no_virus_padj","other_virus_no_virus_logFC","reg_intercept","reg_slope","reg_adj_R2","reg_p_adj"
"ENSG00000000003","TSPAN6",0.616191846977911,0.139251576173092,2.38557533851433e-06,1.02087221029598,4.96803411589682e-05,-0.881620634122888,7.96639477861694,-0.225366515032858,0.153995834486117,0.00408615993179614
"ENSG00000000419","DPM1",0.152657791202408,0.185796575565387,3.44189329142739e-05,0.491593652608768,0.0129404187153513,-0.305797077043381,4.23099501308829,0.0117808584165102,-0.0350262360304523,0.805854061069838
"ENSG00000000457","SCYL3",0.082394384237938,0.193931763317748,0.888897153500791,-0.0188717093815622,0.0574318915026062,0.21280347269931,NA,NA,NA,NA
"ENSG00000000460","C1orf112",0.626916835465631,-0.100375706887263,0.65694959487656,-0.0806374955443383,0.924967526104877,-0.0197382113429252,NA,NA,NA,NA
"ENSG00000000938","FGR",0.351009399544266,-0.579181649169333,1.74747110366518e-07,-2.72971582279656,3.57819091539609e-05,2.15053417362723,2.6896368992543,0.421432545153297,0.107127462256581,0.0184331299563234
"ENSG00000000971","CFH",2.470860214019e-07,0.87688849686674,0.114075282461664,0.325984914008534,0.00743849819987307,0.550903582858206,6.23356777847139,0.0256215310825229,0.0461215451895839,0.789054990765606
"ENSG00000001036","FUCA2",0.936895554060636,-0.0148807569607907,0.473661325373831,0.0967617762064883,0.427638929458206,-0.111642533167279,NA,NA,NA,NA
"ENSG00000001084","GCLC",0.652855823154272,0.132985452880826,1.10155881729066e-05,0.99105023061776,0.000160948434933129,-0.858064777736934,8.42876095798556,-0.167294644898371,0.108946480716042,0.0144415638679984
"ENSG00000001167","NFYA",0.304641090253776,-0.181900395070738,0.000801411881653817,-0.50582618605945,0.0418782755487441,0.323925790988712,4.31778507782136,0.04222683579349,0.0398825682663768,0.462293700572615
"ENSG00000001460","STPG1",0.864260381296459,0.0479654351301635,3.98827074644286e-05,0.750527660529384,0.000144847008157883,-0.702562225399221,5.58433072439046,-0.0974764738371779,0.00722488685438571,0.151206318653747
"ENSG00000001461","NIPAL3",0.740667767230614,-0.05926077374387,0.481889206110024,0.100536787796599,0.263711867204584,-0.159797561540469,NA,NA,NA,NA
"ENSG00000001497","LAS1L",0.68940121409189,0.0900809740898465,6.61763759671576e-06,0.761330845644984,7.80273807104653e-05,-0.671249871555137,5.03690133507556,-0.110223550128034,0.172300808868344,0.0117571889626185
"ENSG00000001561","ENPP4",0.119807608655296,0.361090584552769,2.96861320588761e-06,1.02483325655086,0.00286570336096087,-0.663742671998092,7.11934399593086,-0.227356122382661,0.144928670442411,0.003338184947458
"ENSG00000001617","SEMA3F",0.962657453158591,-0.0155642788445309,0.415869245979127,0.178903006135926,0.399874585489492,-0.194467284980457,NA,NA,NA,NA
"ENSG00000001626","CFTR",0.954139355483027,-0.0289803351487334,0.516136543731055,-0.225744120866089,0.603305958348869,0.196763785717356,NA,NA,NA,NA
"ENSG00000001629","ANKIB1",0.792859479379963,-0.0535522868687455,0.943850639499298,-0.012942602122135,0.825321853541358,-0.0406096847466104,NA,NA,NA,NA
"ENSG00000001630","CYP51A1",0.121299525564061,0.244064013953177,8.67039562344654e-05,0.574736484427387,0.0311798843697687,-0.33067247047421,4.24423891031276,-0.0169951516567371,0.0515939976117155,0.769196769523109
"ENSG00000001631","KRIT1",0.565755209642314,0.100433656387964,0.00536531243444676,0.383562009220327,0.0508035123967189,-0.283128352832363,NA,NA,NA,NA
"ENSG00000002016","RAD52",0.636655473044663,-0.119538023692281,0.821152345064486,-0.0530891902070416,0.787292208470156,-0.0664488334852393,NA,NA,NA,NA
"ENSG00000002330","BAD",0.995970365777472,0.0014823604553551,0.0337542764194933,0.414862312588997,0.0409678544600542,-0.413379952133642,NA,NA,NA,NA
"ENSG00000002549","LAP3",4.65345150234857e-19,1.49019416165014,0.834828174803023,0.0518353923788029,2.57336445052498e-12,1.43835876927134,6.47971187582317,0.372432209221742,0.345814474762085,1.45710382000863e-07
"ENSG00000002586","CD99",0.286362065663952,-0.148227606718284,0.320593778040158,-0.128538887247284,0.904170309340097,-0.0196887194709996,NA,NA,NA,NA
"ENSG00000002587","HS3ST1",0.000970565377267494,0.63656902965838,0.0328251672270016,0.447978657029036,0.43702690508386,0.188590372629345,6.14605153033945,-0.106824752170163,0.0160102929484172,0.285633414898974
"ENSG00000002726","AOC1",0.267620710272359,-0.342836658347425,0.605745729755548,-0.161005054559099,0.580661849206516,-0.181831603788327,NA,NA,NA,NA
"ENSG00000002746","HECW1",0.864260381296459,-0.102516692065694,0.721618558260632,-0.161783455129019,0.910071408673944,0.059266763063325,NA,NA,NA,NA
"ENSG00000002822","MAD1L1",0.354850631087383,0.197188046175399,0.51446964125582,-0.130600894816354,0.0871775606853133,0.327788940991753,NA,NA,NA,NA
"ENSG00000002834","LASP1",0.396127525493785,-0.103245177334764,0.000396937997634964,-0.365907221881318,0.0141972366995425,0.262662044546554,7.75675259208169,0.039547705235816,0.0428871590724936,0.399243351002532
"ENSG00000002919","SNX11",0.631923554792338,-0.138835778383576,0.0148840118002661,-0.532108373876328,0.0910578390615095,0.393272595492752,NA,NA,NA,NA
"ENSG00000002933","TMEM176A",0.302705161003481,0.376713191273482,0.00385684342678778,-0.878126966237868,5.62499211444154e-05,1.25484015751135,NA,NA,NA,NA
"ENSG00000003056","M6PR",0.152533915871459,0.209777276565625,0.0855726570238794,-0.23548608013144,0.00107293614821496,0.445263356697065,NA,NA,NA,NA
"ENSG00000003096","KLHL13",0.6962848149487,0.140033542720494,2.32102708178256e-05,1.13424707698011,0.0002373370413672,-0.994213534259619,1.90890031689519,-0.118738543956486,-0.00312529742147682,0.254540119911259
"ENSG00000003147","ICA1",0.76491169161542,-0.0731508913075967,0.592607194109216,0.104723148401435,0.362620820465851,-0.177874039709032,NA,NA,NA,NA
"ENSG00000003249","DBNDD1",0.673538232087894,-0.136142081905162,0.752943634950858,0.0901581870616401,0.415216519662142,-0.226300268966802,NA,NA,NA,NA
"ENSG00000003393","ALS2",0.996402525843486,-0.000883011955121304,0.0200745748804946,0.342968040653827,0.0238821390749734,-0.343851052608948,NA,NA,NA,NA
"ENSG00000003400","CASP10",0.652955183457096,0.108925973712531,0.000164813468380758,-0.680314623117637,1.74345493340229e-05,0.789240596830168,5.05095466495826,0.204645134919941,0.11088980797842,0.00732066039667901
"ENSG00000003402","CFLAR",0.907585517076667,0.0217829687960016,3.22748157142916e-05,-0.496083919550264,1.73378023973776e-05,0.517866888346266,8.5244032592164,0.126091065921112,0.0883830937263292,0.0118472573626285
"ENSG00000003436","TFPI",0.635990380711992,-0.10061229496795,0.814391144735484,0.0470404623489271,0.437373684647766,-0.147652757316878,NA,NA,NA,NA
"ENSG00000003509","NDUFAF7",0.936600559077852,-0.0241384814085257,0.665007650164557,-0.0972145036985914,0.769747033951157,0.0730760222900657,NA,NA,NA,NA
"ENSG00000003756","RBM5",0.280757179224237,0.161192606915242,0.189754958298632,0.180297559978697,0.913571345848668,-0.0191049530634544,NA,NA,NA,NA
"ENSG00000003987","MTMR7",0.891551701821363,-0.051110381524639,0.0114263054191689,0.615813234472018,0.00733069082044034,-0.666923615996657,NA,NA,NA,NA
"ENSG00000003989","SLC7A2",0.366837740419232,0.332939904354556,9.436558701501e-08,1.74372024291846,1.20497330667643e-05,-1.4107803385639,6.60046187413874,-0.125136780590983,0.0409250906043902,0.166409961901478
"ENSG00000004059","ARF5",0.0875932285904742,-0.239095210201948,0.300982708025747,-0.146361879358754,0.561278771758414,-0.0927333308431937,NA,NA,NA,NA
"ENSG00000004139","SARM1",0.440983522697332,-0.183971188747937,0.346948492337911,0.200495868757398,0.065956098910682,-0.384467057505335,NA,NA,NA,NA
"ENSG00000004142","POLDIP2",0.74473041677508,0.0624531491796363,0.474917956577106,0.108467329382615,0.794455693846179,-0.0460141802029792,NA,NA,NA,NA
"ENSG00000004399","PLXND1",0.695769778853725,0.154168976450709,4.82621652980278e-06,-1.27945264832231,5.5171763212242e-07,1.43362162477302,3.41519285093576,0.245547468072851,0.0633962900648687,0.0326428011535128
"ENSG00000004455","AK2",0.0739480735169947,0.218676299849341,0.235475333301874,0.14708535973761,0.619943650192205,0.0715909401117312,NA,NA,NA,NA
"ENSG00000004468","CD38",5.65365535638702e-06,0.989509143898035,0.235726008583941,0.31529886973142,0.00951703617319719,0.674210274166615,6.38933447639286,0.346579883873698,0.193375642256178,0.000248752281832664
"ENSG00000004478","FKBP4",0.77373476391026,0.0703891269604169,0.37396826743276,-0.163892563570538,0.212220154338403,0.234281690530955,NA,NA,NA,NA
"ENSG00000004487","KDM1A",0.578278970306429,0.108692136686636,0.0222233238786912,0.35231776122486,0.140830690187038,-0.243625624538224,NA,NA,NA,NA
"ENSG00000004534","RBM6",0.239783712918901,0.18512658067626,0.0724694133653266,0.256591791757843,0.683085783136815,-0.0714652110815823,NA,NA,NA,NA
"ENSG00000004660","CAMKK1",0.0184533764382233,-0.590049969856632,0.00163562125181946,-0.780861458545671,0.519643271182985,0.190811488689039,NA,NA,NA,NA
"ENSG00000004700","RECQL",0.993096435222259,-0.00250596941018699,0.0279935612039705,-0.390878224329822,0.035517301175206,0.388372254919635,NA,NA,NA,NA
"ENSG00000004766","VPS50",8.51199437117583e-06,0.593676746237882,0.00282581310098042,0.452844105252615,0.427638929458206,0.140832640985266,4.33608441625155,0.108428685069633,0.0675039130314935,0.0270597452543782
"ENSG00000004777","ARHGAP33",0.780236859401891,-0.116063932177624,0.237029595537184,0.360339833803597,0.125380218281291,-0.476403765981221,NA,NA,NA,NA
"ENSG00000004779","NDUFAB1",0.690667866205856,0.110217441607751,4.224327841237e-05,0.842475956825714,0.000450634271817749,-0.732258515217963,4.53669630576184,-0.204059179216258,0.0689090126873637,0.0227450258658645
"ENSG00000004799","PDK4",0.349638375671572,0.29706847166439,0.000293314621457268,0.988380580587801,0.0144975702062993,-0.691312108923411,3.86355530327385,-0.0359104377271715,-0.023675785185941,0.73291874314531
"ENSG00000004809","SLC22A16",0.912485429170004,-0.0591184983547031,0.233275763565876,0.425500121739042,0.191346702557792,-0.484618620093745,NA,NA,NA,NA
"ENSG00000004838","ZMYND10",0.34572472591823,0.287848090217266,1.8667014510268e-07,1.39946045433175,3.00176363517422e-05,-1.11161236411448,7.13384048708105,-0.103768405443736,0.00684414237722542,0.146538428065603
"ENSG00000004846","ABCB5",0.35920990816352,-0.269667431266656,0.894218731580765,0.0423917643414244,0.264741377739395,-0.312059195608081,NA,NA,NA,NA
"ENSG00000004848","ARX",0.0850091637809128,-0.755492591998526,0.0220170530301852,0.989860338131246,4.8165210053747e-05,-1.74535293012977,NA,NA,NA,NA
"ENSG00000004864","SLC25A13",0.29809854976985,-0.261299463705841,0.00244553823501486,-0.650418902910834,0.0904956113593337,0.389119439204993,NA,NA,NA,NA
"ENSG00000004866","ST7",0.616191846977911,-0.12562517344324,0.299592123922936,0.21235225061674,0.0992146482067593,-0.33797742405998,NA,NA,NA,NA
"ENSG00000004897","CDC27",0.168537295451571,0.199218248713908,0.679629073808782,-0.0631444196856474,0.0586553333656265,0.262362668399556,NA,NA,NA,NA
"ENSG00000004939","SLC4A1",0.580700401840415,-0.201377471059197,0.159408376977375,-0.411267546012884,0.532450516098072,0.209890074953687,NA,NA,NA,NA
"ENSG00000004961","HCCS",0.0210023794906158,0.380099834772198,0.00147750218402659,0.520694989221103,0.467904675083868,-0.140595154448905,NA,NA,NA,NA
"ENSG00000004975","DVL2",0.55148776296815,-0.106581210299561,0.00400666052655217,-0.401514178808979,0.0447692293025523,0.294932968509418,NA,NA,NA,NA
"ENSG00000005001","PRSS22",0.0278007507948683,-0.494687649637383,0.0268936152856546,-0.49953872669291,0.986432266751809,0.00485107705552679,NA,NA,NA,NA
"ENSG00000005007","UPF1",0.282551708298379,0.167599998768227,0.223419706504337,0.17609211000765,0.962291642781827,-0.00849211123942251,NA,NA,NA,NA
"ENSG00000005020","SKAP2",0.483854008643168,-0.351826697787006,5.17835601864849e-05,-1.60958258893351,0.00211608631438987,1.2577558911465,2.80305509516428,0.451628100161027,0.119081020319315,0.00540814298115882
"ENSG00000005022","SLC25A5",0.899323500356783,-0.0311024586194613,0.0246970859411079,0.355905705040731,0.0172352002076142,-0.387008163660192,NA,NA,NA,NA
"ENSG00000005059","MCUB",0.00385961276165082,0.725762547244841,0.58199469231846,-0.159008131445638,0.00069909318061875,0.884770678690479,NA,NA,NA,NA
"ENSG00000005075","POLR2J",0.954061101591557,-0.0154170841522352,0.807796443284346,0.0486134465773072,0.760496489968981,-0.0640305307295423,NA,NA,NA,NA
"ENSG00000005100","DHX33",0.593354374781228,0.114591748762671,0.431121878030928,0.143280983713307,0.898339094802797,-0.0286892349506358,NA,NA,NA,NA
"ENSG00000005108","THSD7A",0.872873104475229,0.0913980379150457,0.216765434425635,0.48330952324518,0.35428976543837,-0.391911485330134,NA,NA,NA,NA
"ENSG00000005156","LIG3",0.648098374594353,0.0874937605301547,0.0618389175169013,0.27767721671528,0.240093517583977,-0.190183456185125,NA,NA,NA,NA
"ENSG00000005175","RPAP3",0.745676208698959,0.051601217365846,0.0545375626569158,0.221762271190896,0.168984121342931,-0.17016105382505,NA,NA,NA,NA
"ENSG00000005187","ACSM3",0.546844030564176,-0.148614910092236,0.913897148474489,-0.0269804441906372,0.60957289087104,-0.121634465901599,NA,NA,NA,NA
"ENSG00000005189","REXO5",0.237947727510022,-0.421007425224618,0.000687046001774981,-1.03987783423343,0.0574027884279978,0.618870409008808,3.01451097940348,0.00514868978645917,-0.0340250291451365,0.962963291406966
"ENSG00000005194","CIAPIN1",0.427921925163659,0.168812637464621,0.474784105909357,0.139256759394369,0.901208376474201,0.0295558780702518,NA,NA,NA,NA
"ENSG00000005206","SPPL2B",0.613992992231954,0.141949845813968,0.0916940196679658,0.377033177606972,0.342250263854047,-0.235083331793004,NA,NA,NA,NA
"ENSG00000005238","FAM214B",0.0189971054055034,-0.409441397035485,2.56942077982425e-06,-0.819407245886407,0.0230938121187012,0.409965848850923,3.79830724161654,0.138910839593523,0.0585102076503972,0.0336825420259075
"ENSG00000005243","COPZ2",0.397121581633038,-0.273637086574728,0.124483201830522,0.437743197268098,0.0121950575140994,-0.711380283842826,NA,NA,NA,NA
"ENSG00000005249","PRKAR2B",0.66594239600987,0.158436161304092,0.0598468485233184,0.527219997332419,0.225159056609522,-0.368783836028327,NA,NA,NA,NA
"ENSG00000005302","MSL3",0.358339019946413,0.130537439755985,0.548049413446005,-0.0824118945683185,0.101006251895523,0.212949334324303,NA,NA,NA,NA
"ENSG00000005339","CREBBP",0.295412860269858,-0.231630663852015,0.231890865089161,-0.244963755987551,0.957959484641422,0.0133330921355359,NA,NA,NA,NA
"ENSG00000005379","TSPOAP1",0.908591115392237,0.0352493152786773,0.858440970676851,0.043128105314854,0.975706591652895,-0.00787879003617675,NA,NA,NA,NA
"ENSG00000005381","MPO",0.929341622428037,-0.0555874310722425,0.0195319833324745,-0.938212309227146,0.0347111681435256,0.882624878154904,NA,NA,NA,NA
"ENSG00000005436","GCFC2",0.880869752935473,0.0430653210166243,0.00226492719455984,0.570197293286268,0.00604491019805064,-0.527131972269644,NA,NA,NA,NA
"ENSG00000005448","WDR54",0.507372647906392,0.191706134544948,1.57887780122659e-07,1.27167224520137,6.70760924949676e-06,-1.07996611065642,5.15099049132961,-0.108269044109737,0.0157807879957115,0.121144763253407
"ENSG00000005469","CROT",0.876668285252718,-0.0419134415438487,0.00165288858285566,0.553382217493149,0.0008666499943342,-0.595295659036998,NA,NA,NA,NA
"ENSG00000005471","ABCB4",0.910148307497233,0.0498713374339284,0.0154958715885977,0.674658515449889,0.0305117126347907,-0.624787178015961,NA,NA,NA,NA
"ENSG00000005483","KMT2E",0.601167627100383,0.0803887517674458,0.808220003407452,0.0357996786983099,0.773613418735479,0.0445890730691358,NA,NA,NA,NA
"ENSG00000005486","RHBDD2",0.667166894083509,0.0919401698347393,0.000757256687329546,0.540629562744393,0.00664019909298952,-0.448689392909654,6.36759766818419,-0.0815777071740419,0.0464627173588406,0.256805988898385
"ENSG00000005700","IBTK",0.538039807003474,0.0979100447390673,0.00198960877456169,0.392843572066935,0.0260822600049482,-0.294933527327868,NA,NA,NA,NA
"ENSG00000005801","ZNF195",0.0600563423528448,0.272861899064311,0.180340946021864,0.194369264904617,0.650452126558506,0.0784926341596934,NA,NA,NA,NA
"ENSG00000005810","MYCBP2",0.00221691475148802,0.458011756825766,0.0199107965437673,0.376321063273083,0.683909802294234,0.0816906935526838,NA,NA,NA,NA
"ENSG00000005812","FBXL3",0.85863558078876,-0.0267428779831951,0.0519922921432642,0.193767098075709,0.0309737422624511,-0.220509976058904,NA,NA,NA,NA
"ENSG00000005844","ITGAL",0.40443516599564,0.279115958407369,0.00194406150466142,-0.854319377544766,5.60042488374836e-05,1.13343533595213,NA,NA,NA,NA
"ENSG00000005882","PDK2",0.685260978588128,-0.112699142820936,0.186528230972437,0.283767586590497,0.0687170678692871,-0.396466729411433,NA,NA,NA,NA
"ENSG00000005884","ITGA3",0.682374900834812,-0.101382741734262,0.0573979502802505,0.357813694794752,0.0163113385951432,-0.459196436529013,NA,NA,NA,NA
"ENSG00000005889","ZFX",0.508757590544261,0.115939951175037,0.963333430567226,-0.0088205406640478,0.451891858230466,0.124760491839084,NA,NA,NA,NA
"ENSG00000005893","LAMP2",0.29695087453276,-0.148483879481889,0.000614689068870787,-0.423014762956504,0.034043835283253,0.274530883474615,6.19093534495117,-0.0878328161878254,0.0556371670528926,0.100567252399698
"ENSG00000005961","ITGA2B",0.6962848149487,-0.172518844103977,0.364793375548964,-0.319516132260347,0.721829504696065,0.146997288156371,NA,NA,NA,NA
"ENSG00000005981","ASB4",0.986661131586827,-0.00602055247807254,0.952862386914234,-0.01658486466496,0.969970440209636,0.0105643121868875,NA,NA,NA,NA
"ENSG00000006007","GDE1",0.52082397269896,-0.111670829694286,0.00302929369903164,0.416102225839693,0.000199465269619685,-0.527773055533979,NA,NA,NA,NA
"ENSG00000006015","REX1BD",0.581210002281186,-0.113739533098391,0.880110709168374,-0.0303804336831579,0.676158655544985,-0.0833590994152336,NA,NA,NA,NA
"ENSG00000006016","CRLF1",0.778462681625849,-0.128382552611801,0.367194339221956,-0.305650645606615,0.649278129317842,0.177268092994814,NA,NA,NA,NA
"ENSG00000006025","OSBPL7",0.444010379062601,0.224947693548903,0.696241888365559,-0.109227391757495,0.206293517857816,0.334175085306398,NA,NA,NA,NA
"ENSG00000006042","TMEM98",0.170271869206096,0.343583525434548,3.63133377457233e-05,0.942442595842823,0.0112323013659051,-0.598859070408275,3.93282299272382,0.00223131099387118,-0.0082542003547057,0.978067621359284
"ENSG00000006047","YBX2",0.0824613895721429,-0.570499970131713,2.19741649500949e-05,-1.29899186131078,0.0229644417418051,0.728491891179068,0.880413476092589,-0.0758617818327868,-0.025034228009065,0.512599104108329
"ENSG00000006062","MAP3K14",0.914444750083484,0.0367549293094784,0.368698936294996,-0.205834460074215,0.310511702354986,0.242589389383693,NA,NA,NA,NA
"ENSG00000006071","ABCC8",0.234648738314484,-0.354029650636295,0.270599625437867,-0.30680062253492,0.893919443235854,-0.0472290281013745,NA,NA,NA,NA
"ENSG00000006118","TMEM132A",0.954139355483027,-0.0262994358242947,0.0366214344580718,-0.587628310506148,0.0561641075352797,0.561328874681854,NA,NA,NA,NA
"ENSG00000006125","AP2B1",0.255395863345959,0.179224988923992,0.0127851646940208,0.348031688961937,0.279650169627708,-0.168806700037945,NA,NA,NA,NA
"ENSG00000006194","ZNF263",0.755734247110002,-0.0616055271510394,0.751165179938289,0.0525137817838246,0.485962790573918,-0.114119308934864,NA,NA,NA,NA
"ENSG00000006210","CX3CL1",5.88891743094892e-05,1.08088127852616,0.0845743970144823,0.530176826332155,0.0877091880469786,0.550704452194009,4.67025255278446,0.226421513697391,0.0898510819469455,0.03908418897477
"ENSG00000006282","SPATA20",0.484008331086667,-0.125654672327205,0.170227015598332,0.209901336460308,0.028189616346976,-0.335556008787512,NA,NA,NA,NA
"ENSG00000006283","CACNA1G",0.737785094587919,-0.104477141742571,0.957138402877334,0.0162062169389486,0.664364410375875,-0.12068335868152,NA,NA,NA,NA
"ENSG00000006327","TNFRSF12A",0.879093851064672,-0.0657326109019865,0.0418512188062564,-0.567573116688626,0.0899817634677577,0.501840505786639,NA,NA,NA,NA
"ENSG00000006377","DLX6",0.12311563448336,-0.481430074896983,0.00241620906818805,-0.874338928977427,0.218806146427067,0.392908854080444,NA,NA,NA,NA
"ENSG00000006432","MAP3K9",0.61975245489662,-0.107836888527968,0.839135504313563,0.0420501603103771,0.440895839610057,-0.149887048838345,NA,NA,NA,NA
"ENSG00000006451","RALA",0.225285323426093,-0.236658222819502,4.30699585811578e-05,-0.697815311998466,0.00898919998046357,0.461157089178965,4.43345719605847,0.0667811783462433,-0.00805347740154128,0.243694148004949
"ENSG00000006453","BAIAP2L1",0.545396133701642,0.0994562093089737,0.000188964468196358,0.488410954170996,0.00380350087666574,-0.388954744862022,7.32641539217271,-0.014458202460787,-0.0149533490953921,0.812398102389099
"ENSG00000006459","KDM7A",0.751853089203833,0.049775717098286,0.0798002947476945,0.201767352722814,0.220871583121944,-0.151991635624528,NA,NA,NA,NA
"ENSG00000006468","ETV1",0.846480270879089,-0.084939069565743,0.791876827296765,-0.0929542032283925,0.982752042376575,0.0080151336626495,NA,NA,NA,NA
"ENSG00000006530","AGK",0.799958666914396,0.0459990387696783,0.0737645841556979,0.228288254212379,0.182169872855487,-0.182289215442701,NA,NA,NA,NA
"ENSG00000006534","ALDH3B1",0.990686030598318,0.00427141703886846,7.2149612008961e-06,0.966231319901247,9.2722211554356e-06,-0.961959902862379,8.31975318749712,-0.103097306016991,0.0142842173885361,0.148426429816928
"ENSG00000006555","TTC22",0.256355631808433,-0.214825729703684,0.155592236751448,-0.242597794184547,0.901195932147685,0.027772064480863,NA,NA,NA,NA
"ENSG00000006576","PHTF2",0.542426596656449,0.119137631352255,0.689864510187817,0.071729249821777,0.813740424651598,0.0474083815304782,NA,NA,NA,NA
"ENSG00000006607","FARP2",0.860841448905721,0.0391792304534846,0.106308189718819,0.242675229256121,0.204714026820126,-0.203495998802636,NA,NA,NA,NA
"ENSG00000006611","USH1C",0.685038582789932,0.188073851977751,6.25447462667106e-05,1.40402555733105,0.00061833967161111,-1.2159517053533,4.40655710064502,-0.246738774469052,0.0348770250605305,0.0871142221353716
"ENSG00000006625","GGCT",0.336492996500053,0.218728923330751,0.0164646027965007,0.467319050773158,0.250468346488653,-0.248590127442407,NA,NA,NA,NA
"ENSG00000006634","DBF4",0.263579909564785,0.271409756645008,0.636494894382662,-0.11373456829848,0.0846884236666495,0.385144324943488,NA,NA,NA,NA
"ENSG00000006638","TBXA2R",0.858288008310107,-0.0678230819525283,0.226641002950673,-0.314900043755445,0.384255282051898,0.247076961802917,NA,NA,NA,NA
"ENSG00000006652","IFRD1",0.0754561075503691,-0.528633739333226,0.00040792673971913,-1.00550910184977,0.120094006586468,0.476875362516544,5.19290171671049,0.186609717149118,0.0163583840345911,0.113748720376132
"ENSG00000006659","LGALS14",0.46798942131776,-0.196935281943176,0.570021140148547,-0.144493657984361,0.859657644535478,-0.0524416239588152,NA,NA,NA,NA
