"variable","gene_name","coef"
"(Intercept)",NA,-1.14861523785772
"RenormalizedAge",NA,-0.491262234306848
"RenormalizedGender",NA,-0.0886340597248259
"ENSG00000006016","CRLF1",-0.257800113111502
"ENSG00000035720","STAP1",0.0476284014656001
"ENSG00000067445","TRO",0.512757946418115
"ENSG00000072163","LIMS2",0.182454151669194
"ENSG00000091831","ESR1",0.00201232313456054
"ENSG00000099139","PCSK5",0.00946371437365753
"ENSG00000100453","GZMB",-0.14945353901213
"ENSG00000101452","DHX35",-0.0901498229527873
"ENSG00000102265","TIMP1",-0.159579348995242
"ENSG00000105371","ICAM4",-0.216252185757371
"ENSG00000105650","PDE4C",0.0381039019397489
"ENSG00000123342","MMP19",-0.000154274034556412
"ENSG00000125780","TGM3",-0.00910979835680214
"ENSG00000126709","IFI6",0.912846515212318
"ENSG00000133316","WDR74",0.0923395517523752
"ENSG00000136205","TNS3",-0.159310205235008
"ENSG00000137959","IFI44L",0.0783255606840821
"ENSG00000142731","PLK4",0.0786315564230418
"ENSG00000147689","FAM83A",0.166717456395807
"ENSG00000148926","ADM",-0.100033326559954
"ENSG00000156194","PPEF2",0.0341931105594121
"ENSG00000157680","DGKI",0.0655677530582257
"ENSG00000161055","SCGB3A1",-0.133365947809078
"ENSG00000163884","KLF15",-0.0157142336749333
"ENSG00000165548","TMEM63C",-0.0531547164350966
"ENSG00000171401","KRT13",-0.20647657454028
"ENSG00000177614","PGBD5",0.179340405366796
"ENSG00000177675","CD163L1",-0.0618023138034607
"ENSG00000181333","HEPHL1",-0.00395321261767769
"ENSG00000183246","RIMBP3C",-0.00164882731147098
"ENSG00000185304","RGPD2",-0.319476968697826
"ENSG00000185567","AHNAK2",-0.0108761868103911
"ENSG00000188215","DCUN1D3",-0.213911436376845
"ENSG00000198183","BPIFA1",0.0330678833486346
"ENSG00000198788","MUC2",-0.116060885171354
"ENSG00000203963","C1orf141",-0.0065731938216137
"ENSG00000204389","HSPA1A",-0.00794818248703667
"ENSG00000204642","HLA-F",0.0691063631159932
"ENSG00000204936","CD177",0.0169117975168566
"ENSG00000205592","MUC19",0.0785826792076322
"ENSG00000206172","HBA1",-0.113019425521349
"ENSG00000214435","AS3MT",-0.099768724719322
"ENSG00000253797","UTP14C",-0.082755678980575
"ENSG00000254709","IGLL5",0.0880668681224193
"ENSG00000257341","AL928654.3",-0.0784148463951194
"ENSG00000258555","SPECC1L-ADORA2A",-0.196630854129792
"ENSG00000274744","ELOA3",-0.0431547209236204
"ENSG00000282034","AC106886.6",0.0442882092419488
