"variable","gene_name","coef"
"ENSG00000126709","IFI6",0.371841775370964
"ENSG00000115590","IL1R2",-0.0374613977408922
"ENSG00000125538","IL1B",-0.0519987759309529
"(Intercept)",NA,-2.8084540767963
