"variable","gene_name","coef"
"ENSG00000126709","IFI6",0.358567317071536
"ENSG00000125538","IL1B",-0.059688564324937
"ENSG00000165949","IFI27",0.0194143766360386
"(Intercept)",NA,-1.71921478670763
"RenormalizedAge",NA,-0.43961511191043
"RenormalizedGender",NA,0.0123408134743316
